MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,TIF,ACTOR,ALLOW_REVISIONS,AUCTION_TYPE,CLIENTLISTID,CLIENTSENDINGTIME,CLIENT_SYMBOL,CLORDID,CUSTOMERORIGINATED,DESKID,DESTINATION_CATEGORY,DESTINATION_NAME,DISABLE_OFF_EXCHANGE,END_TIME,EXPERT_AGGR_IN_THE_MONEY,EXPERT_FADE_LOGIC,EXPERT_FLOATING_LIMIT_VALUE_BPS,EXPERT_FROM_INTERNAL_TICKET,EXPERT_ID,EXPERT_IWOULD_LIMIT_PRICE,EXPERT_IWOULD_PRICE_ALLOCATION,EXPERT_IWOULD_PRICE_ALLOCATION_TYPE,EXPERT_MAX_DARK_EXPOSURE,FLOATING_LIMIT,IWOULD_PRICE,LISTBEGIN,LISTEND,LISTID,LISTNAME,L_ROOTORDERID,MAX_PARTICIPATION_RATE,MIN_PARTICIPATION_RATE,MSGSEQNUM,MUST_COMPLETE,NEED_SNAPSHOT,NUMROOTS,NUM_PARENTS,ONBEHALFOFTARGET,ORDERCAPACITY,ORDSTATUS,PARENTID,PARENTSHARES,REPORTABLE,ROOTORDERID,RULE80A,SECONDARYORDERID,SENDERCOMPID,SERVERMESSAGE,SESSION_NUM*,START_TIME,STYLE,TARGETCOMPID,TOEXECORDERID,TRANSACTIONID,TRANSACTTIME,USE_INET_CLOSINGX,WAVE_STRATEGY
"ROUTE_ORDER","2150916000042679","2015-09-17 09:30:30.118 LON","UR24","ALUL.I","Sell","2616210","0.00","E-WORKEU","","LY92","","","","","","","","V404","","","","","","","","","","","","","","","","","","2150916000042679","","","","","100","","","","","","","","2150916000042678","","","2150916000042678","","","CUCUMBER_ORDERS_1442478601839","","4412457","","FIDO5","CUCUMBER_ORDERS_1442478601839","","","","",""
"ROUTE_ORDER_ACK","2150916000042679","2015-09-17 09:30:30.158 LON","UR24","","","","","","","","","","","","","","","","","","","","","","","","144244804937164","","","","","","","","","","","","","","67214","","","","","CUCUMBER_ORDERS_1442478601839","A","0","","","","","A","144244804937155","E4.Expert","","4412489","","","E4.Expert","2150916000042679","","2015-09-17 09:30:30.158 LON","",""
