MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH,ABOUT,ACCOUNT,ACTIONID,ACTOR,ALLOW_REVISIONS,AVGPRICE,C2CFORWARD,CLIENTLISTID,CLIENTSENDINGTIME,CLIENT_RULE80A,CLIENT_SYMBOL,CLORDID,CONTRABROKER,CONTRACLIENTID,CUSTOMERORIGINATED,DESKID,DESTINATION_CATEGORY,DESTINATION_NAME,EXECBROKER,EXECID,EXECREFID,EXPERT_AGGR_IN_THE_MONEY,EXPERT_FADE_LOGIC,EXPERT_ID,EXPERT_IWOULD_PRICE_ALLOCATION,EXPERT_IWOULD_PRICE_ALLOCATION_TYPE,GOBLINQUEUEID,INFOTYPE,INTERNALORIGINATOR,LASTMKT,LASTMSGSEQNUMPROCESSED,LASTPRICE,LASTSHARES,LIQUIDITY,LISTID,LISTNAME,L_ROOTORDERID,MIN_PARTICIPATION_RATE,MSGSEQNUM,MUST_COMPLETE,NUMROOTS,NUM_PARENTS,ONBEHALFOFTARGET,ORDSTATUS,ORIGCLORDID,ORIGSENDINGTIME,PARENTID,PARENTSHARES,QUOTE_BIDPRICE*,QUOTE_LASTPRICE*,QUOTE_LULD_DOWN_PRICE*,QUOTE_LULD_UP_PRICE*,QUOTE_OFFERPRICE*,QUOTE_TICKDIRECTION*,REFORDERID,REGION,REPORTABLE,REPORT_STATUS,ROOTORDERID,RULE80A,SCHEDULE_DISCRETION,SECONDARYORDERID,SENDERCOMPID,SENDERTARGET,SERVERMESSAGE,SESSION_NUM*,SNP_DOLLAR_VOLUME,SNP_DOLLAR_VOLUME_OE,SNP_LAST_TRADE_PRICE,SNP_LAST_TRADE_SIZE,SNP_LOW,SNP_ORDER_BOOK_DOLLAR_VOLUME,SNP_ORDER_BOOK_TRADE_COUNT,SNP_ORDER_BOOK_VOLUME,SNP_PRIM_DOLLAR_VOLUME,SNP_PRIM_LAST_TRADE_PRICE,SNP_PRIM_ORDER_BOOK_DOLLAR_VOLUME,SNP_PRIM_ORDER_BOOK_VOLUME,SNP_PRIM_VOLUME,SNP_TRADE_COUNT,SNP_VOLUME,TARGETCOMPID,TICKS_AGGRESSIVE,TOEXECORDERID,TRACKING_DISCRETION,TRADEREPORTREFID,TRANSACTIONID,WAVE_STRATEGY
"ROUTE_EXECUTION","1150916000000146","2015-09-17 08:24:20.672 LON","TB92","","","","","","","","","","","","","","5307","","","","","","","","","","","2015-09-17 08:24:20.000 LON","","","","","","","","","","","","","","","","","","","","","","","","","","18528.1503674","","","","","","","VX95","VX95","","","","","XJSE","290188041","7542279","","","","","","4","","","XJSE","10542","18565.00","119","N","","","","","9985","","1","","DKKL92","","","2015-09-17 08:24:20.672 LON","","","null","null","null","null","null","null","2150916001398486","","","","","","","115221111-M20700559","gpc24:8072:srm","EPMAN","","14690537","","","","","","","","","","","","","","","","EPMAN:4","","","","7542279:2:MSLZAP42","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:24:24.435 LON","","","","","","","","","","","","","","",""," optRate: 18.0000 lMinRate: 7.0000 lMaxRate: 18.0000 finishUpRate: .0000 snapFinishUpRate: 3.4967 curFinishUpRate: 3.4967 actRate: 15.6993","33056","2256.1","16.0546% of volume printed 33056 shares, wiggle: 0.0, 5307.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","Limit Price: 0.00000  Lim Px Text: None    Quote trigger: 0.0   DarkLim: None  AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y",""," IWouldDest(88.00%) 0 of 18493 . Average px: 0.0000","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","59653","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","14703873","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:24:54.457 LON","","","","","","","","","","","","","","","","","33233","2326.3","15.9691% of volume printed 33233 shares, wiggle: 0.0, 5307.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","60489","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","14803342","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:25:24.464 LON","","","","","","","","","","","","","","",""," optRate: 18.0000 lMinRate: 7.0000 lMaxRate: 18.0000 finishUpRate: .0000 snapFinishUpRate: 3.4967 curFinishUpRate: 3.4967 actRate: 15.6993","","","","","","Limit Price: 0.00000  Lim Px Text: None    Quote trigger: 0.0   DarkLim: None  AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y",""," IWouldDest(88.00%) 0 of 18493 . Average px: 0.0000","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","61255","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","14933815","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_EXECUTION","1150916000000146","2015-09-17 08:25:31.118 LON","TB92","","","","","","","","","","","","","","5391","","","","","","","","","","","2015-09-17 08:25:31.000 LON","","","","","","","","","","","","","","","","","","","","","","","","","","18528.3194212","","","","","","","VX95","VX95","","","","","XJSE","290189676","7542349","","","","","","4","","","XJSE","10868","18539.00","84","N","","","","","10255","","1","","DKKL92","","","2015-09-17 08:25:31.118 LON","","","null","null","null","null","null","null","2150916001451461","","","","","","","115221111-M20700758","gpc24:8072:srm","EPMAN","","14960105","","","","","","","","","","","","","","","","EPMAN:4","","","","7542349:2:MSLZAP42","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:25:54.477 LON","","","","","","","","","","","","","","","","","33479","2343.5","16.1026% of volume printed 33479 shares, wiggle: 0.0, 5391.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","61930","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","15030573","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:26:24.484 LON","","","","","","","","","","","","","","",""," optRate: 18.0000 lMinRate: 7.0000 lMaxRate: 18.0000 finishUpRate: .0000 snapFinishUpRate: 3.4366 curFinishUpRate: 3.4366 actRate: 16.1026","33542","","16.0724% of volume printed 33542 shares, wiggle: 0.0, 5391.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","Limit Price: 0.00000  Lim Px Text: None    Quote trigger: 0.0   DarkLim: None  AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y",""," IWouldDest(88.00%) 0 of 18493 . Average px: 0.0000","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","62416","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","15115036","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:26:54.487 LON","","","","","","","","","","","","","","","","","33786","2347.9","15.9563% of volume printed 33786 shares, wiggle: 0.0, 5391.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","62939","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","15219550","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_EXECUTION","1150916000000146","2015-09-17 08:27:14.620 LON","TB92","","","","","","","","","","","","","","5474","","","","","","","","","","","2015-09-17 08:27:14.000 LON","","","","","","","","","","","","","","","","","","","","","","","","","","18528.9968944","","","","","","","VX95","VX95","","","","","XJSE","290192255","7542410","","","","","","4","","","XJSE","11430","18573.00","83","N","","","","","10652","","1","","DKKL92","","","2015-09-17 08:27:14.620 LON","","","null","null","null","null","null","null","2150916001504350","","","","","","","115221111-M20700995","gpc24:8072:srm","EPMAN","","15286300","","","","","","","","","","","","","","","","EPMAN:4","","","","7542410:2:MSLZAP42","",""
"ROUTE_INFO","1150916000000146","2015-09-17 08:27:24.489 LON","","","","","","","","","","","","","","",""," optRate: 18.0000 lMinRate: 7.0000 lMaxRate: 18.0000 finishUpRate: .0000 snapFinishUpRate: 3.4366 curFinishUpRate: 3.4366 actRate: 16.1026","34538","2368.4","15.8492% of volume printed 34538 shares, wiggle: 0.0, 5474.0 executed, ignoring 25818 blocks, MaxPart:18.0%","","","Limit Price: 0.00000  Lim Px Text: None    Quote trigger: 0.0   DarkLim: None  AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y",""," IWouldDest(88.00%) 0 of 18493 . Average px: 0.0000","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","63360","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","15315659","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
