MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH,ABOUT,ACCOUNT,ACTIONID,ACTOR,ALLOW_REVISIONS,AVGPRICE,C2CFORWARD,CLIENTLISTID,CLIENTSENDINGTIME,CLIENT_RULE80A,CLIENT_SYMBOL,CLORDID,CONTRABROKER,CONTRACLIENTID,CUSTOMERORIGINATED,DESKID,DESTINATION_CATEGORY,DESTINATION_NAME,EXECBROKER,EXECID,EXECREFID,EXPERT_AGGR_IN_THE_MONEY,EXPERT_FADE_LOGIC,EXPERT_ID,EXPERT_IWOULD_PRICE_ALLOCATION,EXPERT_IWOULD_PRICE_ALLOCATION_TYPE,GOBLINQUEUEID,INFOTYPE,INTERNALORIGINATOR,LASTMKT,LASTMSGSEQNUMPROCESSED,LASTPRICE,LASTSHARES,LIQUIDITY,LISTID,LISTNAME,L_ROOTORDERID,MIN_PARTICIPATION_RATE,MSGSEQNUM,MUST_COMPLETE,NUMROOTS,NUM_PARENTS,ONBEHALFOFTARGET,ORDSTATUS,ORIGCLORDID,ORIGSENDINGTIME,PARENTID,PARENTSHARES,QUOTE_BIDPRICE*,QUOTE_LASTPRICE*,QUOTE_LULD_DOWN_PRICE*,QUOTE_LULD_UP_PRICE*,QUOTE_OFFERPRICE*,QUOTE_TICKDIRECTION*,REFORDERID,REGION,REPORTABLE,REPORT_STATUS,ROOTORDERID,RULE80A,SCHEDULE_DISCRETION,SECONDARYORDERID,SENDERCOMPID,SENDERTARGET,SERVERMESSAGE,SESSION_NUM*,SNP_DOLLAR_VOLUME,SNP_DOLLAR_VOLUME_OE,SNP_LAST_TRADE_PRICE,SNP_LAST_TRADE_SIZE,SNP_LOW,SNP_ORDER_BOOK_DOLLAR_VOLUME,SNP_ORDER_BOOK_TRADE_COUNT,SNP_ORDER_BOOK_VOLUME,SNP_PRIM_DOLLAR_VOLUME,SNP_PRIM_LAST_TRADE_PRICE,SNP_PRIM_ORDER_BOOK_DOLLAR_VOLUME,SNP_PRIM_ORDER_BOOK_VOLUME,SNP_PRIM_VOLUME,SNP_TRADE_COUNT,SNP_VOLUME,TARGETCOMPID,TICKS_AGGRESSIVE,TOEXECORDERID,TRACKING_DISCRETION,TRADEREPORTREFID,TRANSACTIONID,WAVE_STRATEGY,BUYSIDE_LIQUIDITY,CAPLIMIT_VALIDATION_ID,DURATION,EXPERT_FROM_INTERNAL_TICKET,EXPERT_IWOULD_QTY_TYPE,LISTBEGIN,LOWER_LIMIT_TYPE,PCT_VOLUME,RAW_LIQUIDITY,REFERENCE_PRICE,ROUTESTRATEGY,SNP_INDEX1,TARGET_PARTICIPATION_RATE,TEXT,TIME_BASIS,ACTIVE_LIMIT,LISTEND,ORIGINATOR,PCT_LQNT,PRIMARY_DISPLAY,QTE_LEAVE_SIZE,QTE_TRIGGER_SIZE
"ROUTE_ORDER","2150916017671320","2015-09-17 16:13:59.642 LON","TB92","KSP.L","Buy","75","23.34","E-BLKPEU","100.00","","100.00","1970-01-01 01:00:00.000 LON","1970-01-01 01:00:00.000 LON","NORMAL","","0.00","","","","","","23.30","23.33","","","","","","","0.00","","100.00","","","","","","0.00","N","","","62498","339","10","23.34","204","81","23.39","","15084H1","A3Eg2P:1aI","XJ37","Y","","","B3Eg2P:1aJ","2015-09-17 16:13:59.639 LON","A","KSP.L","B3Eg2P:1aK","","","N","HA35","Experts EU","Blockpeg EU","","","","","","","100.00","PERCENT","","","QuickWave - PT Cash Wave - Blockpeg","","","","","","2150916017671320","Instinet Europe - Europe Executions [xj37.raffaele.ingrao] @ 09/17/15 16:13:53","","","19613","","1","1","","","","","2150916000018956","75","","","","","","","","","","","1150916000000066","A","","","lpc05:8072:orderport","ORDPORT","","101937258","2247586.1416635","1449556.32","23.34","10","22.90","1916498.74","469","82641","1735201.0216635","23.34","1449556.32","62498","74807","551","96918","DKHA35","","","","","B3Eg2P:1aK","PT Cash Wave - Blockpeg","","HA35","","","","","","","","","","6195.23","","","","","","","","Y","",""
"ROUTE_INFO","2150916017671320","2015-09-17 16:13:59.783 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:1aK","","","","","","","","","","","","","","","","O","","","","","","","","","","","807024","","","","DKHA35","","B3Eg2P:1aK","","","","","","","","","","","","","","","","","","E7.Expert","","","101937906","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_ORDER_ACK","2150916017671320","2015-09-17 16:13:59.783 LON","TB92","","","","","","","","","","","","","","","","","","","","","","","","","2015-09-17 16:13:59.779 LON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:1aK","","","","","","","","","","","","144244890146232","","","","","","","","","","","","","","","807025","","","","DKHA35","0","","","","","","","","","","","","","","","","","","144244890146220","E7.Expert","","","101937907","","","","","","","","","","","","","","","","E7.Expert","","2150916017671320","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916017671320","2015-09-17 16:13:59.784 LON","","","","","","","100.00","","100.00","2015-09-17 16:13:59.642 LON","2015-09-17 16:30:00.000 LON","NORMAL","","0.00","","","","","","","","","","","","","","0.00","","100.00","100.00","","0","","","0.00","N","","5","","","","","","","","ExpertOptions","","","","","","","","","","","B3Eg2P:1aK","","","","","","","","","","","","","","","","O","","","","","","","","","","","807026","","","","DKHA35","","B3Eg2P:1aK","","","","","","","","","","","","","","","","NORMAL","","E7.Expert","","","101937910","","","","","","","","","","","","","","","","E7.Expert","5","","NORMAL","","","","","","","","","","","","","","","","","","","","","","","","-1","-1"
"ROUTE_EXECUTION","2150916017671320","2015-09-17 16:13:59.812 LON","TB92","","","","","","","","","","","","","","75","","","","","","","","","","","2015-09-17 16:13:59.811 LON","","","","","","","","","","","","","","","","","","","","","","","","","","23.33","","","","","","","LCH001","LCH001","","","","","BATE","291057819","029501X5M","","","","","","0","","","BATE","769165","23.33","75","R","","","","","95434","","1","","DKHA35","","","2015-09-17 16:13:59.811 LON","","","null","null","null","null","null","null","2150916017671453","","","","","","","2H1VSB01KXHO","gpc24:8072:srm","EPMAN","","101937985","","","","","","","","","","","","","","","","EPMAN:0","","","","029501X5M:1","","","2","","","","","","","","R","","","","","","","","","","","","",""
"ROUTE_INFO","2150916017671320","2015-09-17 21:21:58.950 LON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIFMGR","","","","","","","","","","","","","","","","","","","","","","","0","E","","","","","","","","","","","910211","","","","DKHA35","","","","","","","","","","","","","","","","","","","","gpc22:8072:tifmgr","","","107837675","","","","","","","","","","","","","","","","TIFMGR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
